MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP
4,1,2,AS,HNL,HI,SEA,WA,1603,13.00,13.00,0.00,0,0056,0.00,353.00,2677.00,11
4,1,2,AS,HNL,HI,SEA,WA,2108,-8.00,0.00,0.00,-1,0601,0.00,353.00,2677.00,11
4,1,2,AS,HNL,HI,SEA,WA,2346,34.00,34.00,1.00,2,0838,0.00,352.00,2677.00,11
4,1,2,AS,IAD,VA,SEA,WA,0700,-6.00,0.00,0.00,-1,0952,0.00,352.00,2306.00,10
4,1,2,AS,IAD,VA,SEA,WA,1822,-4.00,0.00,0.00,-1,2121,0.00,359.00,2306.00,10
4,1,2,AS,IAH,TX,SEA,WA,0730,-3.00,0.00,0.00,-1,1024,0.00,294.00,1874.00,8
4,1,2,AS,IAH,TX,SEA,WA,1848,11.00,11.00,0.00,0,2147,0.00,299.00,1874.00,8
4,1,2,AS,IND,IN,SEA,WA,1835,-7.00,0.00,0.00,-1,2029,0.00,294.00,1866.00,8
4,1,2,AS,JFK,NY,SEA,WA,0720,6.00,6.00,0.00,0,1039,0.00,379.00,2422.00,10
4,1,2,AS,JFK,NY,SEA,WA,1130,,,,,1447,1.00,377.00,2422.00,10
4,1,2,AS,JFK,NY,SEA,WA,1600,-1.00,0.00,0.00,-1,1925,0.00,385.00,2422.00,10
4,1,2,AS,JFK,NY,SEA,WA,1729,20.00,20.00,1.00,1,2054,0.00,385.00,2422.00,10
4,1,2,AS,JNU,AK,SEA,WA,0700,-7.00,0.00,0.00,-1,1024,0.00,144.00,909.00,4
