MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyVisibility,HourlyWindSpeed
6,5,4,AS,SEA,WA,BOI,ID,12.62,23.0,23.0,1.0,1.0,15.1,89.0,399.0,2,51.0,71.0,49.0,10.0,13.0
6,5,4,AS,SEA,WA,BOI,ID,20.25,92.0,92.0,1.0,6.0,22.7,87.0,399.0,2,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,BOS,MA,8.22,-5.0,0.0,0.0,-1.0,16.75,332.0,2496.0,10,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,BOS,MA,10.43,-5.0,0.0,0.0,-1.0,18.98,333.0,2496.0,10,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,BOS,MA,15.67,3.0,3.0,0.0,0.0,0.1,326.0,2496.0,10,50.0,75.0,41.0,10.0,11.0
6,5,4,AS,SEA,WA,BOS,MA,23.0,7.0,7.0,0.0,0.0,7.33,320.0,2496.0,10,50.0,65.0,59.0,10.0,9.0
6,5,4,AS,SEA,WA,BUR,CA,7.33,-6.0,0.0,0.0,-1.0,9.83,150.0,937.0,4,51.0,57.0,81.0,10.0,6.0
6,5,4,AS,SEA,WA,BUR,CA,9.83,19.0,19.0,1.0,1.0,12.35,151.0,937.0,4,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,BUR,CA,13.93,8.0,8.0,0.0,0.0,16.45,151.0,937.0,4,49.0,73.0,43.0,10.0,8.0
6,5,4,AS,SEA,WA,BUR,CA,15.75,-1.0,0.0,0.0,-1.0,18.28,152.0,937.0,4,50.0,75.0,41.0,10.0,11.0
6,5,4,AS,SEA,WA,BUR,CA,19.48,-11.0,0.0,0.0,-1.0,21.98,150.0,937.0,4,50.0,69.0,51.0,10.0,9.0
6,5,4,AS,SEA,WA,BWI,MD,9.93,6.0,6.0,0.0,0.0,18.08,309.0,2335.0,10,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,BWI,MD,22.45,-4.0,0.0,0.0,-1.0,6.48,302.0,2335.0,10,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,BZN,MT,12.43,10.0,10.0,0.0,0.0,15.08,99.0,543.0,3,51.0,71.0,49.0,10.0,13.0
6,5,4,AS,SEA,WA,BZN,MT,16.0,11.0,11.0,0.0,0.0,18.63,98.0,543.0,3,50.0,77.0,39.0,10.0,10.0
6,5,4,AS,SEA,WA,CHS,SC,9.5,26.0,26.0,1.0,1.0,17.85,321.0,2415.0,10,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,CLE,OH,10.35,3.0,3.0,0.0,0.0,18.02,280.0,2021.0,9,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,CLE,OH,21.67,25.0,25.0,1.0,1.0,5.5,290.0,2021.0,9,50.0,66.0,56.0,10.0,11.0
6,5,4,AS,SEA,WA,CMH,OH,10.15,-8.0,0.0,0.0,-1.0,17.62,268.0,2016.0,9,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,CMH,OH,21.75,-3.0,0.0,0.0,-1.0,5.22,268.0,2016.0,9,50.0,66.0,56.0,10.0,11.0
6,5,4,AS,SEA,WA,CVG,KY,10.17,-2.0,0.0,0.0,-1.0,17.67,270.0,1965.0,8,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,DCA,VA,8.5,41.0,41.0,1.0,2.0,16.73,314.0,2329.0,10,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,DCA,VA,13.8,-2.0,0.0,0.0,-1.0,21.98,311.0,2329.0,10,49.0,73.0,43.0,10.0,8.0
6,5,4,AS,SEA,WA,DEN,CO,8.3,29.0,29.0,1.0,1.0,12.0,162.0,1024.0,5,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,DEN,CO,10.25,-3.0,0.0,0.0,-1.0,13.97,163.0,1024.0,5,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,DEN,CO,13.15,79.0,79.0,1.0,5.0,16.82,160.0,1024.0,5,49.0,73.0,43.0,10.0,8.0
6,5,4,AS,SEA,WA,DEN,CO,17.92,129.0,129.0,1.0,8.0,21.63,163.0,1024.0,5,49.0,75.0,40.0,10.0,14.0
6,5,4,AS,SEA,WA,DEN,CO,20.38,31.0,31.0,1.0,2.0,0.08,162.0,1024.0,5,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,DFW,TX,0.57,-8.0,0.0,0.0,-1.0,6.33,226.0,1660.0,7,50.0,53.0,89.0,10.0,3.0
6,5,4,AS,SEA,WA,DFW,TX,6.0,-8.0,0.0,0.0,-1.0,11.92,235.0,1660.0,7,51.0,54.0,90.0,5.0,0.0
6,5,4,AS,SEA,WA,DFW,TX,8.25,2.0,2.0,0.0,0.0,14.28,242.0,1660.0,7,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,DFW,TX,9.83,46.0,46.0,1.0,3.0,15.88,243.0,1660.0,7,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,DFW,TX,12.5,10.0,10.0,0.0,0.0,18.55,243.0,1660.0,7,51.0,71.0,49.0,10.0,13.0
6,5,4,AS,SEA,WA,DFW,TX,17.98,50.0,50.0,1.0,3.0,23.98,240.0,1660.0,7,49.0,75.0,40.0,10.0,14.0
6,5,4,AS,SEA,WA,DTW,MI,8.5,28.0,28.0,1.0,1.0,15.88,263.0,1927.0,8,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,DTW,MI,21.75,20.0,20.0,1.0,1.0,5.23,269.0,1927.0,8,50.0,66.0,56.0,10.0,11.0
6,5,4,AS,SEA,WA,EUG,OR,11.4,43.0,43.0,1.0,2.0,12.62,73.0,234.0,1,52.0,68.0,57.0,10.0,9.0
6,5,4,AS,SEA,WA,EUG,OR,22.75,7.0,7.0,0.0,0.0,23.92,70.0,234.0,1,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,EWR,NJ,10.08,5.0,5.0,0.0,0.0,18.48,324.0,2402.0,10,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,EWR,NJ,21.67,-2.0,0.0,0.0,-1.0,5.98,319.0,2402.0,10,50.0,66.0,56.0,10.0,11.0
6,5,4,AS,SEA,WA,FAI,AK,9.83,15.0,15.0,1.0,1.0,12.67,230.0,1533.0,7,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,FAI,AK,12.0,64.0,64.0,1.0,4.0,14.83,230.0,1533.0,7,51.0,71.0,49.0,10.0,13.0
6,5,4,AS,SEA,WA,FAI,AK,17.37,2.0,2.0,0.0,0.0,20.07,222.0,1533.0,7,49.0,75.0,40.0,10.0,14.0
6,5,4,AS,SEA,WA,FAI,AK,21.67,-3.0,0.0,0.0,-1.0,0.4,224.0,1533.0,7,50.0,66.0,56.0,10.0,11.0
6,5,4,AS,SEA,WA,FAI,AK,23.67,4.0,4.0,0.0,0.0,2.33,220.0,1533.0,7,50.0,65.0,59.0,10.0,9.0
6,5,4,AS,SEA,WA,FAT,CA,16.58,-7.0,0.0,0.0,-1.0,18.72,128.0,748.0,3,50.0,77.0,39.0,10.0,10.0
6,5,4,AS,SEA,WA,FLL,FL,8.42,-7.0,0.0,0.0,-1.0,17.45,362.0,2717.0,11,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,GEG,WA,11.57,13.0,13.0,0.0,0.0,12.75,71.0,224.0,1,52.0,68.0,57.0,10.0,9.0
6,5,4,AS,SEA,WA,GEG,WA,15.85,29.0,29.0,1.0,1.0,16.9,63.0,224.0,1,50.0,75.0,41.0,10.0,11.0
6,5,4,AS,SEA,WA,GEG,WA,20.15,7.0,7.0,0.0,0.0,21.18,62.0,224.0,1,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,GEG,WA,22.82,1.0,1.0,0.0,0.0,23.9,65.0,224.0,1,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,HNL,HI,10.33,6.0,6.0,0.0,0.0,13.57,374.0,2677.0,11,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,HNL,HI,19.92,-1.0,0.0,0.0,-1.0,23.12,372.0,2677.0,11,50.0,69.0,51.0,10.0,9.0
6,5,4,AS,SEA,WA,IAD,VA,9.3,-1.0,0.0,0.0,-1.0,17.25,297.0,2306.0,10,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,IAD,VA,16.0,-9.0,0.0,0.0,-1.0,23.98,299.0,2306.0,10,50.0,77.0,39.0,10.0,10.0
6,5,4,AS,SEA,WA,IAD,VA,23.5,3.0,3.0,0.0,0.0,7.6,306.0,2306.0,10,50.0,65.0,59.0,10.0,9.0
