MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,TAXI_OUT,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4,1,2,4/1/2025 0:00,AS,AUS,TX,SEA,WA,1330,-10,0,0,-1,25,0,280,1770,8,,,,,
4,1,2,4/1/2025 0:00,AS,AUS,TX,SEA,WA,1811,-5,0,0,-1,18,0,279,1770,8,,,,,
4,1,2,4/1/2025 0:00,AS,BNA,TN,SEA,WA,700,11,11,0,0,18,0,310,1978,8,,,,,
4,1,2,4/1/2025 0:00,AS,BNA,TN,SEA,WA,1746,28,28,1,1,68,0,308,1978,8,0,0,55,0,0
4,1,2,4/1/2025 0:00,AS,BOI,ID,SEA,WA,940,-9,0,0,-1,32,0,99,399,2,,,,,
4,1,2,4/1/2025 0:00,AS,BOI,ID,SEA,WA,1447,48,48,1,3,21,0,90,399,2,0,0,0,0,48
4,1,2,4/1/2025 0:00,AS,BOS,MA,SEA,WA,700,170,170,1,11,21,0,388,2496,10,139,0,0,0,0
4,1,2,4/1/2025 0:00,AS,BOS,MA,SEA,WA,1730,-11,0,0,-1,26,0,384,2496,10,,,,,
4,1,2,4/1/2025 0:00,AS,BUR,CA,SEA,WA,700,10,10,0,0,37,0,165,937,4,0,0,36,0,0
4,1,2,4/1/2025 0:00,AS,BUR,CA,SEA,WA,1206,25,25,1,1,21,0,166,937,4,0,0,0,0,19
4,1,2,4/1/2025 0:00,AS,BUR,CA,SEA,WA,1351,-15,0,0,-1,21,0,166,937,4,,,,,
4,1,2,4/1/2025 0:00,AS,BUR,CA,SEA,WA,1625,-11,0,0,-1,10,0,164,937,4,,,,,
4,1,2,4/1/2025 0:00,AS,BUR,CA,SEA,WA,1918,-4,0,0,-1,16,0,162,937,4,,,,,
4,1,2,4/1/2025 0:00,AS,BWI,MD,SEA,WA,1903,-1,0,0,-1,15,0,357,2335,10,,,,,
4,1,2,4/1/2025 0:00,AS,BZN,MT,SEA,WA,1453,-3,0,0,-1,23,0,114,543,3,,,,,
4,1,2,4/1/2025 0:00,AS,CHS,SC,SEA,WA,1838,-9,0,0,-1,16,0,371,2415,10,,,,,
4,1,2,4/1/2025 0:00,AS,CLE,OH,SEA,WA,1948,12,12,0,0,20,0,312,2021,9,,,,,
4,1,2,4/1/2025 0:00,AS,CMH,OH,SEA,WA,1823,-13,0,0,-1,26,0,312,2016,9,,,,,
4,1,2,4/1/2025 0:00,AS,CVG,KY,SEA,WA,1836,-10,0,0,-1,14,0,301,1965,8,,,,,
4,1,2,4/1/2025 0:00,AS,DAL,TX,SEA,WA,1938,-9,0,0,-1,14,0,261,1670,7,,,,,
4,1,2,4/1/2025 0:00,AS,DCA,VA,SEA,WA,800,-8,0,0,-1,23,0,358,2329,10,,,,,
4,1,2,4/1/2025 0:00,AS,DCA,VA,SEA,WA,1755,15,15,1,1,11,0,360,2329,10,,,,,
4,1,2,4/1/2025 0:00,AS,DEN,CO,SEA,WA,700,-7,0,0,-1,16,0,187,1024,5,,,,,
4,1,2,4/1/2025 0:00,AS,DEN,CO,SEA,WA,1244,9,9,0,0,15,0,181,1024,5,,,,,
4,1,2,4/1/2025 0:00,AS,DEN,CO,SEA,WA,1738,3,3,0,0,18,0,183,1024,5,,,,,
4,1,2,4/1/2025 0:00,AS,DEN,CO,SEA,WA,1957,54,54,1,3,39,0,182,1024,5,4,0,5,0,50
4,1,2,4/1/2025 0:00,AS,DFW,TX,SEA,WA,725,-9,0,0,-1,27,0,263,1660,7,,,,,
4,1,2,4/1/2025 0:00,AS,DFW,TX,SEA,WA,930,-6,0,0,-1,27,0,264,1660,7,,,,,
4,1,2,4/1/2025 0:00,AS,DFW,TX,SEA,WA,1340,-7,0,0,-1,24,0,259,1660,7,,,,,
4,1,2,4/1/2025 0:00,AS,DFW,TX,SEA,WA,1751,22,22,1,1,19,0,264,1660,7,,,,,
4,1,2,4/1/2025 0:00,AS,DTW,MI,SEA,WA,1710,2,2,0,0,17,0,299,1927,8,,,,,
4,1,2,4/1/2025 0:00,AS,EUG,OR,SEA,WA,830,40,40,1,2,18,0,70,234,1,40,0,11,0,0
4,1,2,4/1/2025 0:00,AS,EWR,NJ,SEA,WA,700,-7,0,0,-1,28,0,375,2402,10,,,,,
4,1,2,4/1/2025 0:00,AS,EWR,NJ,SEA,WA,1529,-8,0,0,-1,13,0,375,2402,10,,,,,
4,1,2,4/1/2025 0:00,AS,FAI,AK,SEA,WA,145,-8,0,0,-1,47,0,220,1533,7,,,,,
4,1,2,4/1/2025 0:00,AS,FAI,AK,SEA,WA,700,-6,0,0,-1,38,0,219,1533,7,,,,,
4,1,2,4/1/2025 0:00,AS,FAI,AK,SEA,WA,958,-13,0,0,-1,33,0,222,1533,7,,,,,
4,1,2,4/1/2025 0:00,AS,FAI,AK,SEA,WA,1200,1,1,0,0,24,0,220,1533,7,,,,,
4,1,2,4/1/2025 0:00,AS,FAI,AK,SEA,WA,1553,10,10,0,0,13,0,222,1533,7,,,,,
4,1,2,4/1/2025 0:00,AS,FAT,CA,SEA,WA,1654,-4,0,0,-1,14,0,136,748,3,,,,,
4,1,2,4/1/2025 0:00,AS,FLL,FL,SEA,WA,700,5,5,0,0,27,0,400,2717,11,,,,,
4,1,2,4/1/2025 0:00,AS,FLL,FL,SEA,WA,1805,31,31,1,2,19,0,415,2717,11,0,0,0,0,18
4,1,2,4/1/2025 0:00,AS,GEG,WA,LAX,CA,630,-7,0,0,-1,18,0,168,945,4,,,,,
4,1,2,4/1/2025 0:00,AS,GEG,WA,SAN,CA,710,-11,0,0,-1,21,0,170,1027,5,,,,,
4,1,2,4/1/2025 0:00,AS,GEG,WA,SEA,WA,600,-10,0,0,-1,17,0,69,224,1,,,,,
4,1,2,4/1/2025 0:00,AS,GEG,WA,SEA,WA,700,-7,0,0,-1,15,0,69,224,1,,,,,
4,1,2,4/1/2025 0:00,AS,GEG,WA,SEA,WA,800,-3,0,0,-1,10,0,69,224,1,,,,,
